DATE,T10Y2Y,NASDAQ_RSI,WILSHIRE_RSI,GOLD_RSI,DGS30_RSI
1980-05-01,-0.13,57.06959707,55.38435199,43.61337898,23.17880795
1980-05-02,0.2,63.62252664,61.25800167,44.04077365,20.23121387
1980-05-05,0.33,67.03296703,64.98487275,55.7844691,19.23076923
1980-05-06,0.4,72.76565799,72.62773723,51.39372822,25.36231884
1980-05-07,0.55,81.46341463,78.45872619,49.24874791,20.14925373
1980-05-08,0.7,79.53296703,75.04371032,50.64935065,28.37837838
1980-05-09,0.45,87.86039454,71.97069985,51.31578947,32.02614379
1980-05-12,0.78,84.03755869,59.04397706,55.71428571,33.76623377
1980-05-13,0.75,83.93194707,63.48863636,51.26705653,27.32919255
1980-05-14,0.87,83.60655738,63.28419609,51.64410058,21.56862745
1980-05-15,0.83,91.19318182,61.41930836,30.93333333,28.57142857
1980-05-16,0.61,91.19318182,61.63123955,37.58911212,38.46153846
1980-05-19,0.75,90.46153846,61.20970663,51.8783542,43.22580645
1980-05-20,0.96,86.83651805,58.85364635,41.40127389,38.06818182
1980-05-21,0.94,88.05166846,68.04932735,54.40528634,38.28571429
1980-05-22,0.97,88.82175227,72.73705608,47.3628692,45.75163399
1980-05-23,1.12,89.58724203,75.27919332,46.51661308,42.1686747
1980-05-27,1.14,88.99900892,77.17946152,46.45922747,45.80645161
1980-05-28,1.06,88.11563169,77.04389851,65.31671859,50.9202454
1980-05-29,1.08,85.46209761,70.74050106,57.77063237,49.36708861
1980-05-30,1,87.74259448,82.1470245,69.42379182,48.71794872
1980-06-02,0.97,86.15847543,80.12139605,80.73770492,50.31055901
1980-06-03,0.96,82.04845815,75.54678331,73.82226981,50
1980-06-04,1.01,81.49829739,78.32009081,75.15243902,47.64705882
1980-06-05,1.05,81.5819209,78.49906191,79.75376197,38.125
1980-06-06,1.09,81.26436782,78.6532551,82.5,31.03448276
1980-06-09,1.12,81.92904656,79.03211051,86.37540453,22.80701754
1980-06-10,1.04,86.61257606,81.14977823,78.40775558,31.90184049
1980-06-11,1.05,89.39534884,82.87220026,73.15716273,33.33333333
1980-06-12,1.07,88.16199377,78.57383398,72.35213205,28.48837209
1980-06-13,1.12,87.85942492,76.09655302,74.7804266,31.01265823
1980-06-16,1.09,87.2909699,74.6007984,70.60252672,30.57324841
1980-06-17,1.13,86.68224299,72.41675618,66.34026928,26.35135135
1980-06-18,0.98,93.50490196,89.05466238,69.1314554,25.34246575
1980-06-19,0.88,88.01452785,72.19604147,66.0791888,22.22222222
1980-06-20,1.06,88.65853659,70.78664664,61.24137931,16.78321678
1980-06-23,1.04,91.93357058,73.87165416,61.49584488,27.97202797
1980-06-24,1.04,91.29321383,69.68555094,59.29721816,32.35294118
1980-06-25,1.06,91.38149556,73.84235901,60.28571429,39.25925926
1980-06-26,1.07,91.14583333,68.88179642,57.68645358,51.58730159
1980-06-27,1.1,90.98143236,66.44470868,51.3986014,59.16666667
1980-06-30,1.12,73.29910141,51.078357,68.30065359,55.04587156
1980-07-01,1.12,70.74542897,47.54212667,70.60810811,64.60176991
1980-07-02,1.18,74.09713574,53.99603699,76.3866878,77.65957447
1980-07-03,1.24,75.35545024,59.6660554,69.08462867,76.84210526
1980-07-07,1.26,81.09090909,62.48990216,74.58563536,81.1965812
1980-07-08,1.29,80.38674033,60.91521568,82.55813953,70.76923077
1980-07-09,1.31,80.91397849,60.72967033,75.25083612,70.76923077
1980-07-10,1.31,82.46575342,63.76223002,71.20253165,73.88059701
1980-07-11,1.31,85.4824936,69.31808105,69.43089431,79.41176471
1980-07-14,1.17,86.85228152,73.04666199,66.51090343,77.77777778
1980-07-15,1.19,86.70836591,68.08879093,55.75101488,67.62589928
1980-07-16,1.28,85.54421769,64.85174267,52.05278592,59.02777778
1980-07-17,1.32,86.993114,71.63797115,52.05278592,58.45070423
1980-07-18,1.27,88.03659395,73.01899644,44.10958904,57.85714286
1980-07-21,1.2,97.7443609,84.37213183,37.13405239,54.10958904
1980-07-22,1.16,92.72058824,81.34128425,36.51515152,52.14285714
1980-07-23,1.17,92.15530903,78.99669239,38.20058997,51.04895105
1980-07-24,1.19,91.02447869,74.79674797,41.23867069,58.57142857
1980-07-25,1.2,85.04672897,64.44039451,46.34482759,54.33070866
1980-07-28,1.22,86.17977528,68.38119281,36.41791045,65
1980-07-29,1.17,86.95652174,70.94248429,39.77987421,61.40350877
1980-07-30,1.2,90.62200957,78.32606615,40.80645161,62.71186441
1980-07-31,1.04,84.98498498,71.51085512,36.77325581,68.11594203
1980-08-01,0.98,83.27759197,61.28719723,41.64086687,64.70588235
1980-08-04,1.03,76.7699115,62.28724152,50.46728972,69.29133858
1980-08-05,1.03,78.17047817,63.06653809,53.83275261,78.07017544
1980-08-06,1.11,76.61469933,57.58582503,49.3955095,76.85185185
1980-08-07,1.04,77.77777778,64.92673993,58.75486381,72.47706422
1980-08-08,1.06,78.125,64.57920465,54.41176471,82.11382114
1980-08-11,0.96,86.09467456,71.68361315,51.18577075,83.20610687
1980-08-12,0.95,82.0754717,65.04666881,41.25874126,82.57575758
1980-08-13,0.86,82.56880734,63.26828759,40.81728511,76.33587786
1980-08-14,0.83,86.96356275,75.77851396,34.71502591,72.8
1980-08-15,0.74,87.70053476,75.7233659,40.4432133,66.66666667
1980-08-18,0.36,71.02040816,58.79001173,32.85371703,72.14285714
1980-08-19,0.33,63.7248089,55.21327014,42.58823529,72.72727273
1980-08-20,0.11,69.22069417,61.81412639,52.64623955,64.1025641
1980-08-21,0.03,72.05707491,67.53487142,58.93719807,66.95652174
1980-08-22,0.04,77.23486952,71.17122976,58.27338129,63.63636364
1980-08-25,0.06,75.88571429,66.85805423,49.35064935,67.88321168
1980-08-26,0.08,75.71921749,64.26528304,50.26455026,66.91729323
1980-08-27,0.15,71.8256475,54.64258634,50.13262599,72.72727273
1980-08-28,0.12,65.62691131,48.32670855,51.32978723,70.22900763
1980-08-29,0.19,64.08945687,45.29659291,62.45954693,58.33333333
1980-09-02,0.27,67.89737171,53.00764374,62.25806452,52.38095238
1980-09-03,0.35,71.13111986,60.74341645,63.09148265,50.32679739
1980-09-04,0.39,69.00302115,53.99401693,59.79381443,53.79746835
1980-09-05,0.32,67.89737171,51.32193842,63.4375,57.41935484
1980-09-08,0.18,74.87922705,54.3488577,82.95081967,54.48275862
1980-09-09,0.06,80.74712644,59.31165828,83.59621451,46.09929078
1980-09-10,0.11,80.84345961,58.18537676,85.43417367,46.09929078
1980-09-11,0.05,80.30859662,55.3181954,72.22222222,50
1980-09-12,-0.03,79.75830816,53.2107939,77.83505155,56.02836879
1980-09-15,-0.17,80.50266565,56.82024981,66.96230599,56.94444444
1980-09-16,-0.16,81.76638177,61.42430965,67.41071429,55.03355705
1980-09-17,-0.22,85.88807786,72.17990569,69.19831224,52.81690141
1980-09-18,-0.31,90.39692702,77.98416804,66.52977413,47.10144928
1980-09-19,-0.26,91.07674004,78.67284185,66.66666667,49.24242424
1980-09-22,-0.31,90.96385542,78.37733816,72.93103448,67.56756757
1980-09-23,-0.24,84.37908497,68.24079795,75.8163894,70.92198582
1980-09-24,-0.23,83.9704896,73.43589744,71.53284672,69.17293233
1980-09-25,-0.2,77.26098191,66.58400496,67.21556886,71.12676056
1980-09-26,-0.41,67.95454545,60.95778645,61.38461538,72.2972973
1980-09-29,-0.31,52.14060388,47.71380186,54.1864139,79.33333333
1980-09-30,-0.27,53.19524019,50.889053,45.10703364,70
1980-10-01,-0.24,53.21585903,53.21463362,50.84226646,67.08860759
1980-10-02,-0.23,52.73698264,57.30442513,44.07345576,65.18987342
1980-10-03,-0.11,57.65550239,59.96573122,49.16201117,48.5380117
1980-10-06,-0.06,59.05936777,61.91965466,51.33587786,47.97687861
1980-10-07,-0.01,54.7314578,56.67258125,50.48543689,46.74556213
1980-10-08,-0.18,57.39743058,59.19452536,50.19305019,50.87719298
1980-10-09,-0.21,54.83304042,56.48615788,52.66055046,48.87640449
1980-10-10,-0.2,54.1276216,52.5815739,43.2967033,38.51351351
1980-10-13,-0.25,58.45132743,58.1237911,29.89130435,39.04109589
1980-10-14,-0.3,58.48806366,56.46157529,29.89130435,37.74834437
1980-10-15,-0.29,62.28310502,64.42371437,33.71104816,30.76923077
1980-10-16,-0.22,67.86069652,67.94686111,35.84337349,31.25
1980-10-17,-0.29,86.16550853,77.75618677,37.65822785,33.55704698
1980-10-20,-0.36,83.65591398,76.4378254,45.55895865,39.68253968
1980-10-21,-0.41,76.76056338,69.63523477,30.37037037,44.02985075
1980-10-22,-0.43,77.20644666,65.90166316,38.51590106,52.63157895
1980-10-23,-0.49,59.52,51.57164973,36.09271523,64
1980-10-24,-0.51,50.77821012,44.263692,27.22513089,64
1980-10-27,-0.6,42.37855946,40.17436546,25.2688172,71.15384615
1980-10-28,-0.59,35.15625,37.76331188,25.96685083,72.89156627
1980-10-29,-0.5,37.22689076,38.22462427,30.02610966,82.05128205
1980-10-30,-0.56,30.61674009,34.42229482,28.72340426,82.27848101
1980-10-31,-0.62,26.2295082,32.33351679,26.60098522,82.27848101
